k,labels,silhouette,cost,run
2,[1 1 1 ... 1 1 1],0.9272060190218755,34.469430135115275,23
3,[2 2 2 ... 2 0 2],0.21155201079366695,125.97580445764537,48
4,[0 0 0 ... 0 2 0],0.23449576021739077,112.97010384071761,18
5,[3 3 3 ... 2 0 3],0.04320904097995718,52.63138055998314,11
6,[5 5 5 ... 4 3 5],0.18258707158850282,101.07208864100909,21
7,[1 1 1 ... 6 2 1],0.19891157317378386,92.77560801828498,43
8,[5 5 5 ... 3 2 5],0.17990424753860118,93.07675789265339,45
9,[3 8 3 ... 4 7 3],0.16081636540514074,86.21200862019856,27
10,[6 6 6 ... 7 9 6],0.1647418489148944,86.73404380726883,38
